/// Wait... Image compression... This may take a few minutes
67F2EC47|请稍等……图像解压中……这可能会花费一些时间……
42A7B955|等等出口的脚本..
/// Wait.. Generate Scripts..
44C16C93|等等..脚本生成..
/// Wait.. Generate scripts.. 
44A0ECF3|等等..脚本生成.. 
///   Unity Project Version
8391C557|团结项目的版本
///   Unity 2017.3
5E77CD61|团结2017.3
///   Unity 5.6
E54C2A1D|团结5.6
/// Information truncated for DEMO VERSION
60921137|信息的截断演示版本
///    Ver 4.39
E362BD80| Ver4.39
///   Show tree items id
E3024211|显示树项目id
///   Select by id or name:
C5DD27A1|选择的标识或名称：
///   File:
1AF463E4|文件：
///   ID:
E7A29BDF|标识：
/// Waiting.. ScriptMapper.. Resources path update, items: 
187801F3|等待..ScriptMapper..资源的道路更新项目： 
/// Temp directory
6D8B26B7|临时目录
///    Ver 4.42
139FBD87| 看到4.42
/// Apply changes - end
29AAA97D|申请改变端
///   Apply changes (repack bundle, make APK, etc)
824F133F|应用的变化(重新包装束，使，等等)
/// Without alpha channel
33A355B7|没有阿尔法通道
///   Repack Bundles (.unity3d)
FBA2997F|重新包装束(一。unity3d)
///   Unpacker Magic Studio license:\r\n- View all resources\r\n- View Full Script source code (decompile to C#, allow save script)\r\n- Export resources: sounds (as WAV), images (as PNG, DDS, PVR), mesh (.obj, .asset), text, fonts, Scrips  (to C#)\r\n, Animations, Avatar\r\n- Export models to Unitypackeg (Model, Animations, Resources)\r\n- Replace assets content of game (replace Images, sounds, text, edit asset parametrs)\r\n- Generate Unity3D project from game \r\n  (Scenes, Scripts, Images, Sounds, Meshes, Text, Fonts, Material, Animations, Models and etc.)
7906005F|解包魔术工作室许可证： \n-查看所有的资源 \n-看完整的脚本源代码(编至C号、允许保存脚本) \n-出口的资源：(如果)、图像(如巴布亚新几内亚DDS，PVR)，网(中。obj,.资产)、文字、字体、处方药(C#) \n动画、虚拟形象 \n-出口模型Unitypackeg(模型、动画、资源) \n-替代资产内容的游戏(替换图像、声音、文字、编辑资产parametrs) \n-产生Unity3D项目从游戏 \n(景、脚本、图像、声音、网格、文字、字体、材料、动画、模型和等)。
/// Wait... Save Bundle
4E93D81|等等...保存束
///   Search end, find count: 
5714C4BF|搜索结束，发现数： 
/// None
A6669136|没有
/// Saving RAM (export slower)
D8F87912|节省RAM(出口速度较慢)
/// Cache time in seconds:
8AB7DCC5|缓时间:
///   Begin search...
79A29A6|开始搜索...
///   Filter (show/hide)
E6849FA9|过滤器(显示/隐藏)
///   Search as HEX
8566509E|搜索作为HEX
///   Search as text UNICODE
EAE5E044|搜索作为文UNICODE
///   Search as text UTF8
83F86ACE|搜索作为文UTF8
///   Search as text ANSI
155E6689|搜索作为文ANSI
///   Content Value
FBF592D0|内容值
///   label1
E9E81D06|标签1
///   ID
CE06B7E7|ID
///   Offset in asset
68CA2EB8|偏移的资产
///   Status
8A82AD3D|状态
///   Double click of item - for show on main tree view
6781324B|双击的项目显示在主要树看
///   Search form
B1C0F49C|搜索形式
///    Ver 4.48
139FBD81| Ver4.48
///   statusStrip2
4C885660|statusStrip2
/// Disable auo open result files
5530D0CE|禁友达开放的结果文件
///   label21
241B8D1F|label21
///   Asset class name
C4A54A6D|资产类别的名字
///    Ver 5.01
4154BD88| Ver5.01
///   Audio clip
36ACA52A|音频剪辑
///   label22
C6C301BA|label22
///   Save as (wav, mp3,ogg)
7297E26F|保存如(果、mp3，ogg)
/// Settings
D5EB1CC9|设置
///   APK Sign settins
B0D618FC|APK签署settins
/// Import settings
800542D8|进口设置
///   Export && Save
83462991|出口和保存
/// Repack
A77BEFBB|重新包装
/// Apply all changes (repack bundle, make APK, etc)
AC5DC3F|适用于所有变动(重新包装束，使，等等)
///   Asset (selected):
275F743F|资产(选择):
/// Save Asset (with headers)
141E9684|保存资产(标题)
///   Save Asset content
8A4E48F7|保存资产的内容
/// Save Asset sub content (binary conten of asset)
7DA1A698|保存资产分内容(二conten的资产)
/// Replace sub content in Asset (binary content)
96520274|代替子内容在的资产(二进制的内容)
/// Reset filter
19A5084C|重置滤
///   Search now
13CA73A5|现在搜索
///   Assets only
E46F4BDE|资产只
///   Search form..
CC159FF1|搜索的形式。。
///   Select next:
2C0421D5|选择下一步:
///   Debug console
340EC2BB|调试台
///   Warning! Server date and local date  not equal!!!\nFor the program to work, you need the date and time to be correct.(Server UTC date: 
7AA4D160|警告！ 服务器的日期和地日期不平等!!!\n该程序的工作，你需要的时间和日期是正确的。(服务器UTC日期： 
///   , Local UTC date=
9669279D| 当地UTC日期=
/// Waiting.. AssetBundle.. Resources path update, items: 
A75C67B0|等待..AssetBundle..资源的道路更新项目： 
///    Ver 5.03
4154BD86| Ver5.03
/// Export
C175ED3D|出口
/// Replace sound
74EE86CF|替换声音
/// With generate project
481459F7|与生成的项目
/// With export resources
2A463756|与出口的资源
/// Import bundle as Level
A199C855|进口束作水平
///   Include Search in Scripts (c# script content)
24CD7A4|包括搜索脚本中的(c#脚本内容)
///   Search as text
7CB022EA|搜索作为文
/// Assets Bundle\n
5D8CF4D3|资产束\n
/// Engine version: 
77B48C01|引擎的版本： 
/// Bundle size: 
3CF3C1E8|捆绑大小： 
/// Signature: 
A0BFA96D|签署： 
/// Items: \n
1B77120F|项目： \n
///   For save changes to assets: press to button 'Apply changes'
D94ABDBB|为保存变为资产：按下按钮应用的变化'
///    Ver 5.07
4154BD8A| Ver5.07
///   Generate Unity Project
7345665F|产生团结项目
/// Export resources to directory
978ECC6B|出口资源目录
///   Test\n123\n456
74488F59|测试\n一百二十三\n四百五十六个
///   Stop play
901BBCBB|停止播放
///   Bundle content
A374ECCF|捆绑的内容
/// Lenght
48414E76|长
///   Show fast menu
751996A6|显示出快速的菜单
///   Disable dialog: For save changes to assets: press 'Apply Changes'
344B17D9|禁止对话：为保存变为资产：按申请的变化
/// APK Sign settings
7E1E21E1|APK标志的设置
/// Set all gameobjects as active
C5EF7EC5|设置的所有gameobjects为活动
/// Allow RigingBody
7440FD22|允许RigingBody
/// Allow Audio
8EFCE06|允许音频
/// Show animation preview
DE1F06CD|表演动画预览
/// Show video clips
36707B8D|表演视频剪辑
/// Show Particles
4D1C3635|粒子显示
/// Add additional light
ED4EE62E|添加额外的光
/// Use proxy connection
8ADD8276|使用代理服务器的连接
/// Server:
3F93BF04|服务器：
/// Port:
158D900|港口：
/// Use Proxy Authentication
CA2DF85D|利用代理的身份验证
/// User name:
A19445D0|用户名:
/// Fast open
F7D7718C|快打开
/// IL2CPP Restore Scripts Structured
4EDDA686|IL2CPP恢复脚本结构
/// Standart Decompiller
8630CF6E|标准Decompiller
/// ILSpy Decompiller
409D1488|ILSpy Decompiller
/// Simple Code Decompiller
945252BE|简单的代码Decompiller
/// keytool path:
3EAED1C5|密钥工具的路径：
/// jarsigner path:
70B85F11|jarsigner路径：
/// zipalign path:
2084ED5F|zipalign路径：
/// Auto find tools
3D76F7AC|自动找到的工具
/// Keystore
311144D4|密钥
/// Keystore file:
FE68A80|密钥的文件:
/// Store password:
C01D298D|商店密码：
/// Key alias:
B25E2AD4|关键别名：
/// Key password:
AE8DCA9A|钥匙密码：
/// NDName:
9866B14B|NDName:
/// Loading..
72FFF1C2|装载..
/// Please wait...
8FEB664F|请等等...
/// Reboot required
C2CB40EE|需要重新启动
///       : 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F | 0123456789ABCDEF
9DFCAC55| : 00 01 02 03 04 05 06 07 08 09 0A0 0C0D0E0F|0123456789ABCDEF
/// name: 
BCB3D597|名称： 
/// frequency: 
CEAAC85D|频率： 
/// channels: 
AEFE552B|渠道： 
/// length: 
79FE86AE|长度： 
/// is play: 
E59A450A|是玩： 
/// Volume: 
C20EF311|体积： 
/// Select dir
74844BC4|选择dir
/// Save file
95211AF8|保存文件
/// Open file
B1D3C7DE|打开文件
/// Filter: 
9470F039|过滤器： 
/// Path: 
18F1C236|路径： 
/// Directories & files: 
E56D526B|目录和文件： 
/// Selected File: 
B957F173|选定文件： 
/// Selected File : 
D1CFC931|选定文件： 
/// Selected dir: 
E77F1B7F|选dir： 
/// Select
19BC6620|选择
/// License dialog
236A6BAB|许可证的对话
/// License: 
8F34F9B7|许可证： 
/// License - Invalid!
D1DF61FE|许可证无效的！
/// License valid, number: 
F9F0A5CA|许可有效，数： 
/// Activate
6B21469B|激活
/// Activation - Sucsess.
5954D7B7|激活Sucsess的。
/// Close
CFA1C227|靠近
/// Make prefab - ok
BD04F926|使预制-好的
/// Make prefab - error
FF163379|使预制错误
/// Make prefab - break
995DB01E|使预制破
/// Wait.. Making Prefab..
7223DB42|等等，使预制..
/// make parfab asset:
F5A47C38|让parfab资产：
/// Waiting.. open
A09AEE74|等待..打开
/// License for 'RePacker Tools' or 'Unpacker Studio' not activated
CC174422|许可证'RePacker工具"或"拆包器工作室'不能激活
/// UI Scale
F50760A0|UI秤
/// Font Size
FBE32C6F|字体大小
/// Default
7421349B|默认的
/// Invert swipe scroll
28998A05|反刷滚动
/// Make unity project
D81F50B6|使统一的项目
/// By name: 
BFB17160|按名称： 
/// Show items ID
E36617B5|显示项目ID
/// Select next
706221D5|下一个选择
/// Search
9F84AD27|搜索
/// Language
7FC009CC|语言
/// def
7F535E8|def
/// License
227493AA|许可证
/// License view
CE10E97|许可查看
/// Buy
9B0D007B|买
/// Updates
62B922E|更新
/// Full screen
E9758365|全屏幕
/// Save asset
C8725F56|节省的资产
/// Play..
870CAE01|玩。。
/// Stop
B86205DC|停止
/// Save as WAV
96F473B3|保存。
/// Sound
775D35E8|声音
/// Save PNG
7C844F7|保存PNG
/// Save DDS
F3DD0099|保存DDS
/// Background
1CB36450|背景
/// Scale
2D7CAD2D|规模
/// Save HEX Dump
4CBD9E92|保存六Dump
/// Text:
A6084A6E|文本：
/// Method name:
46BFA41C|方法的名称：
/// Update
5ECA0B4B|更新
/// Shape model
15551757|形模型
/// Cube model
F0F17831|立体模型
/// 3D View model
BCFB426B|3D视图模型
/// Orbit camera
B660A348|轨道摄像机
/// Fly camera
263ECE90|飞机
/// First Person Camera
1B277095|第一个摄像头
/// Make scene
A4A09668|让景物
/// Make preview
4FFC4733|使预览
/// Goto to Selected
91CA841C|转到选择
/// Bundle
EC4F4D64|捆绑
/// Ver 
E64019FA|Ver 
///     Status: 
244BAE29| 状况： 
/// Edit
BAD14A28|编辑
/// IS DEMO VERSION!
93D8BB67|是演示版！
/// Exist new version
62ABA32D|存在新的版本
/// Logs
2B63AAAB|日志
