/// Wait... Image compression... This may take a few minutes
67F2EC47|お待ち---画像圧縮とは---こに数分かかる場合があり
49A132CF|スタンドアローン(WIN,MAC,LINUX)
///   iOS Package (.ipa)
57715F4E|iOSパッケージです。ipa)
/// Wait.. Making UnityProject..
9706AC3F|お待ち..作UnityProjectす。
/// Wait.. Making UnityProject.. 
F46222AE|お待ち..作UnityProjectす。 
/// Wait.. Making Unity Project.. 
A12C3A7B|お待ち..作Unityプロジェクト.. 
/// Wait.. Making Prefabs..
EDF536FB|お待ち..作Prefabsす。
/// Wait.. Making Prefabs.. 
5A9536FB|お待ち..作Prefabsす。 
/// Wait.. Making Unitypackage..
47F22DBE|お待ち..作Unitypackageす。
/// Wait.. Export Scripts..
42A7B955|お待ち..輸出スクリプト..
/// Wait.. Generate Scripts..
44C16C93|お待ち..生成スクリプト..
/// Wait.. Generate scripts.. 
44A0ECF3|お待ち..生成スクリプト.. 
///   Unity Project Version
8391C557|Unityプロジェクトのバージョン
///   Unity 2017.3
5E77CD61|一2017.3
///   Unity 5.6
E54C2A1D|一5.6
/// Information truncated for DEMO VERSION
60921137|情報を切り捨てのためのデモ版
///    Ver 4.39
E362BD80| Ver4.39
///   Show tree items id
E3024211|ショーツリーの項目id
///   Select by id or name:
C5DD27A1|選択によるidまたはname:
///   File:
1AF463E4|ファイル:
///   ID:
E7A29BDF|ID：
/// Waiting.. ScriptMapper.. Resources path update, items: 
187801F3|待って..ScriptMapper..資源のパスを更新項目： 
/// Temp directory
6D8B26B7|温度ディレクトリ
///    Ver 4.42
139FBD87| 見4.42
/// Apply changes - end
29AAA97D|申請の変更-終了
///   Apply changes (repack bundle, make APK, etc)
824F133F|申請の変化(再封入束、APKなど)
/// Without alpha channel
33A355B7|なくアルファチャンネル
///   Repack Bundles (.unity3d)
FBA2997F|再封入束です。unity3d)
///   Unpacker Magic Studio license:\r\n- View all resources\r\n- View Full Script source code (decompile to C#, allow save script)\r\n- Export resources: sounds (as WAV), images (as PNG, DDS, PVR), mesh (.obj, .asset), text, fonts, Scrips  (to C#)\r\n, Animations, Avatar\r\n- Export models to Unitypackeg (Model, Animations, Resources)\r\n- Replace assets content of game (replace Images, sounds, text, edit asset parametrs)\r\n- Generate Unity3D project from game \r\n  (Scenes, Scripts, Images, Sounds, Meshes, Text, Fonts, Material, Animations, Models and etc.)
7906005F|Unpackerは魔法のスタジオライセンス: \nビューの全てのリソース \nビューのフルスクリプトのソースコード(逆コンパイルをスレッドセーフで、C＃、よ保存のスクリプト) \n輸出源:音（WAV）、画像（PNG,DDS,PVR)、メッシュ(です。objます。資産では、テキスト、フォント、Scrips(C#) \n、アニメーションは、アバター \n輸出モデルのUnitypackeg(プラモデル、アニメーション、資源) \n-資産内容のゲーム（画像、音声、テキスト編集資産parametrs) \n-生Unity3Dプロジェクトからゲーム \n(シーンでは、スクリプト、画像、音声、メッシュは、テキスト、フォント、材料、アニメーションやモデルなど）
/// Wait... Save Bundle
4E93D81|お待ち---保存バンドル
///   Search end, find count: 
5714C4BF|検索終了、数： 
/// None
A6669136|なし
/// Saving RAM (export slower)
D8F87912|省RAM（輸出の鈍)
/// Cache time in seconds:
8AB7DCC5|キャッシュの時間(秒):
///   Begin search...
79A29A6|始まりの検索---
///   Filter (show/hide)
E6849FA9|フィルタ（表示-非表示を切り替える)
///   Search as HEX
8566509E|検索としての六角レンチ
///   Search as text UNICODE
EAE5E044|検索テキストとしてのUNICODE
///   Search as text UTF8
83F86ACE|検索テキストとしてUTF-8
///   Search as text ANSI
155E6689|検索テキストとしてANSI
///   Content Value
FBF592D0|コンテンツ価値
///   label1
E9E81D06|label1
///   ID
CE06B7E7|ID
///   Offset in asset
68CA2EB8|オフセットの資産
///   Status
8A82AD3D|状況
///   Double click of item - for show on main tree view
6781324B|ダブルクリックの項目のためにメインツリービュー
///   Search form
B1C0F49C|検索フォーム
///    Ver 4.48
139FBD81| Ver4.48
///   statusStrip2
4C885660|statusStrip2
/// Disable auo open result files
5530D0CE|無効にauo開結果ファイル
///   label21
241B8D1F|label21
///   Asset class name
C4A54A6D|資産クラス名
///    Ver 5.01
4154BD88| Ver5.01
///   Audio clip
36ACA52A|オーディオクリップ
///   label22
C6C301BA|label22
///   Save as (wav, mp3,ogg)
7297E26F|として保存(wav,mp3,ogg)
/// Settings
D5EB1CC9|設定
///   APK Sign settins
B0D618FC|APKサsettins
/// Import settings
800542D8|インポートの設定
///   Export && Save
83462991|輸出登録し
/// Repack
A77BEFBB|再封入
/// Apply all changes (repack bundle, make APK, etc)
AC5DC3F|適用すべての変化(再封入束、APKなど)
///   Asset (selected):
275F743F|資産選択なし）：
/// Save Asset (with headers)
141E9684|保存資産（ヘッダー)
///   Save Asset content
8A4E48F7|保存資産の内容
/// Save Asset sub content (binary conten of asset)
7DA1A698|保存資産のサブコンテンツ(バイナリcontenの資産)
/// Replace sub content in Asset (binary content)
96520274|交換サブコンテンツ資産(バイナリのコンテンツ)
/// Reset filter
19A5084C|リセットフィルター
///   Search now
13CA73A5|現在の検索
///   Assets only
E46F4BDE|資産のみ
///   Search form..
CC159FF1|検索フォーム..
///   Select next:
2C0421D5|次に選択:
///   Debug console
340EC2BB|デバッグコンソール
///   Warning! Server date and local date  not equal!!!\nFor the program to work, you need the date and time to be correct.(Server UTC date: 
7AA4D160|警告! サーバーの日は、現地の日付が等しくないです！！！\nプログラムの作業とクレジットカードが必要です日時が正しいです。（サーバー UTCの日時： 
///   , Local UTC date=
9669279D| 地UTCの日付=
/// Waiting.. AssetBundle.. Resources path update, items: 
A75C67B0|待って..AssetBundle..資源のパスを更新項目： 
///    Ver 5.03
4154BD86| Ver5.03
/// Export
C175ED3D|輸出
/// Replace sound
74EE86CF|従
/// With generate project
481459F7|共生プロジェクト
/// With export resources
2A463756|輸出の資源
/// Import bundle as Level
A199C855|輸入のプロフィールにアクセスしたレベル
///   Include Search in Scripts (c# script content)
24CD7A4|などの検索スクリプト(c#scriptコンテンツ)
///   Search as text
7CB022EA|検索テキストとして
/// Assets Bundle\n
5D8CF4D3|資産バンドル\n
/// Engine version: 
77B48C01|エンジンをバージョン: 
/// Bundle size: 
3CF3C1E8|バンドルサイズ： 
/// Signature: 
A0BFA96D|署名: 
/// Items: \n
1B77120F|項目: \n
///   For save changes to assets: press to button 'Apply changes'
D94ABDBB|のための変更を保存に資産を押すボタンを適用'
///    Ver 5.07
4154BD8A| Ver5.07
///   Generate Unity Project
7345665F|を統一プロジェクト
/// Export resources to directory
978ECC6B|輸出の資源をディレクトリ
///   Test\n123\n456
74488F59|試験\n百二十三\n四百五十六
///   Stop play
901BBCBB|自動再生を停止する
///   Bundle content
A374ECCF|バンドルコンテンツ
/// Lenght
48414E76|長さ
///   Show fast menu
751996A6|ショーの速メニュー
///   Disable dialog: For save changes to assets: press 'Apply Changes'
344B17D9|を無効にしダイアログ:変更を保存に資産を押して適用'
/// APK Sign settings
7E1E21E1|APKサインの設定
/// Set all gameobjects as active
C5EF7EC5|セット全てのgameobjectsとして活躍
/// Allow RigingBody
7440FD22|きRigingBody
/// Allow Audio
8EFCE06|るオーディオ
/// Show animation preview
DE1F06CD|ショーニプレビュー
/// Show video clips
36707B8D|ビデオクリップ
/// Show Particles
4D1C3635|ショー粒子
/// Add additional light
ED4EE62E|追加の光
/// Use proxy connection
8ADD8276|プロキシ接続を利用
/// Server:
3F93BF04|サーバー：
/// Port:
158D900|ポート：
/// Use Proxy Authentication
CA2DF85D|使用プロキシ認証
/// User name:
A19445D0|ユーザー名:
/// Fast open
F7D7718C|高速open
/// IL2CPP Restore Scripts Structured
4EDDA686|IL2CPP回復のスクリプト構造
/// Standart Decompiller
8630CF6E|スタンダートDecompiller
/// ILSpy Decompiller
409D1488|ILSpy Decompiller
/// Simple Code Decompiller
945252BE|簡単なコードDecompiller
/// keytool path:
3EAED1C5|keytoolパス:
/// jarsigner path:
70B85F11|jarsignerパス:
/// zipalign path:
2084ED5F|zipalignパス:
/// Auto find tools
3D76F7AC|自動車索ツール
/// Keystore
311144D4|キーストア
/// Keystore file:
FE68A80|キーストアファイル:
/// Store password:
C01D298D|ストアのパスワード:
/// Key alias:
B25E2AD4|キーエイリアス:
/// Key password:
AE8DCA9A|鍵のパスワード:
/// NDName:
9866B14B|NDName:
/// Loading..
72FFF1C2|積載す。
/// Please wait...
8FEB664F|しばらくお待ち下さい。
/// Reboot required
C2CB40EE|再起動に必要な
///       : 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F | 0123456789ABCDEF
9DFCAC55| : 00 01 02 03 04 05 06 07 08 09 0A0B0C0D0E0F|0123456789ABCDEF
/// name: 
BCB3D597|名前: 
/// frequency: 
CEAAC85D|周波数： 
/// channels: 
AEFE552B|チャンネル: 
/// length: 
79FE86AE|長さ： 
/// is play: 
E59A450A|は： 
/// Volume: 
C20EF311|数量: 
/// Select dir
74844BC4|選択dir
/// Save file
95211AF8|保存ファイル
/// Open file
B1D3C7DE|ファイルを開く
/// Filter: 
9470F039|フィルタ: 
/// Path: 
18F1C236|パス: 
/// Directories & files: 
E56D526B|ディレクトリのファイル: 
/// Selected File: 
B957F173|選択したファイル: 
/// Selected File : 
D1CFC931|選択したファイル: 
/// Selected dir: 
E77F1B7F|選択したdir: 
/// Select
19BC6620|選択
/// License dialog
236A6BAB|ライセンスダイアログ
/// License: 
8F34F9B7|ライセンス: 
/// License - Invalid!
D1DF61FE|----------無効にす！
/// License valid, number: 
F9F0A5CA|ライセンスを有効な番号: 
/// Activate
6B21469B|活性化
/// Activation - Sucsess.
5954D7B7|活性化-Sucsessます。
/// Close
CFA1C227|近
/// Make prefab - ok
BD04F926|だプレハブ-ok
/// Make prefab - error
FF163379|だプレハブ-エラー
/// Make prefab - break
995DB01E|だプレハブ-休憩
/// Wait.. Making Prefab..
7223DB42|お待ち..作りプレハブ..
/// make parfab asset:
F5A47C38|作parfab資産
/// Waiting.. open
A09AEE74|待って開..
/// License for 'RePacker Tools' or 'Unpacker Studio' not activated
CC174422|ライセンス'RePackerツール"または"unpackerはスタジオ"活性化されません
/// UI Scale
F50760A0|UIのスケール
/// Font Size
FBE32C6F|文字サイズ
/// Default
7421349B|デフォルト
/// Invert swipe scroll
28998A05|反転スワイプスクロール
/// Make unity project
D81F50B6|を統一プロジェクト
/// By name: 
BFB17160|名前: 
/// Show items ID
E36617B5|示項目ID
/// Select next
706221D5|次に選択
/// Search
9F84AD27|検索
/// Language
7FC009CC|言語
/// def
7F535E8|def
/// License
227493AA|ライセンス
/// License view
CE10E97|ライセンスビュー
/// Buy
9B0D007B|購入
/// Updates
62B922E|更新
/// Full screen
E9758365|全画面
/// Save asset
C8725F56|保存資産
/// Play..
870CAE01|再生す。
/// Stop
B86205DC|停止
/// Save as WAV
96F473B3|として保存WAV
/// Sound
775D35E8|音
/// Save PNG
7C844F7|保存PNG
/// Save DDS
F3DD0099|保存DDS
/// Background
1CB36450|背景
/// Scale
2D7CAD2D|規模
/// Save HEX Dump
4CBD9E92|保存HEXダンプ
/// Text:
A6084A6E|テキスト:
/// Method name:
46BFA41C|メソッド名:
/// Update
5ECA0B4B|更新
/// Shape model
15551757|形状モデル
/// Cube model
F0F17831|キューブモデル
/// 3D View model
BCFB426B|3次元表示モデル
/// Orbit camera
B660A348|軌道カメラ
/// Fly camera
263ECE90|フライカメラ
/// First Person Camera
1B277095|初めてのカメラ
/// Make scene
A4A09668|情景作り
/// Make preview
4FFC4733|くプレビュー
/// Goto to Selected
91CA841C|後藤選択した
/// Bundle
EC4F4D64|バンドル
/// Ver 
E64019FA|Ver. 
///     Status: 
244BAE29| 状態: 
/// Edit
BAD14A28|編集
/// IS DEMO VERSION!
93D8BB67|はデモ版！
/// Exist new version
62ABA32D|新しいバージョンが存在し
/// Logs
2B63AAAB|ログ
